query	entrezgene	name	symbol	alias	taxid	HGNC
AASS	10157	aminoadipate-semialdehyde synthase	AASS	LKR/SDH, LKRSDH, LORSDH	9606	HGNC:17366
AATF	26574	apoptosis antagonizing transcription factor	AATF	BFR2, CHE-1, CHE1, DED	9606	HGNC:19235
AATK	9625	apoptosis associated tyrosine kinase	AATK	AATYK, AATYK1, LMR1, LMTK1, PPP1R77	9606	HGNC:21
ABAT	18	4-aminobutyrate aminotransferase	ABAT	GABA-AT, GABAT, NPD009	9606	HGNC:23
ABCA1	19	ATP binding cassette subfamily A member 1	ABCA1	ABC-1, ABC1, CERP, HDLCQTL13, HDLDT1	9606	HGNC:29
ABCA10	10349	ATP binding cassette subfamily A member 10	ABCA10	EST698739	9606	HGNC:30
ABCA11P	79963	ATP binding cassette subfamily A member 11, pseudogene	ABCA11P	ABCA11, EST1133530	9606	HGNC:31
ABCA12	26154	ATP binding cassette subfamily A member 12	ABCA12	ARCI4A, ARCI4B, ICR2B, LI2	9606	HGNC:14637
ABCA13	154664	ATP binding cassette subfamily A member 13	ABCA13		9606	HGNC:14638
ABCA2	20	ATP binding cassette subfamily A member 2	ABCA2	ABC2, IDPOGSA	9606	HGNC:32
ABCA3	21	ATP binding cassette subfamily A member 3	ABCA3	ABC-C, ABC3, EST111653, LBM180, SMDP3	9606	HGNC:33
ABCA4	24	ATP binding cassette subfamily A member 4	ABCA4	ABC10, ABCR, ARMD2, CORD3, FFM	9606	HGNC:34
ABCA5	23461	ATP binding cassette subfamily A member 5	ABCA5	ABC13, EST90625, HTC3	9606	HGNC:35
ABCA6	23460	ATP binding cassette subfamily A member 6	ABCA6	EST155051	9606	HGNC:36
ABCA7	10347	ATP binding cassette subfamily A member 7	ABCA7	ABCA-SSN, ABCX, AD9	9606	HGNC:37
ABCA8	10351	ATP binding cassette subfamily A member 8	ABCA8		9606	HGNC:38
ABCA9	10350	ATP binding cassette subfamily A member 9	ABCA9	EST640918	9606	HGNC:39
ABCB1	5243	ATP binding cassette subfamily B member 1	ABCB1	ABC20, CD243, CLCS, GP170, MDR1	9606	HGNC:40
ABCB10	23456	ATP binding cassette subfamily B member 10	ABCB10	EST20237, M-ABC2, MTABC2	9606	HGNC:41
ABCB11	8647	ATP binding cassette subfamily B member 11	ABCB11	ABC16, BRIC2, BSEP, PFIC-2, PFIC2	9606	HGNC:42
ABCB4	5244	ATP binding cassette subfamily B member 4	ABCB4	ABC21, GBD1, ICP3, MDR2, MDR2/3	9606	HGNC:45
ABCB5	340273	ATP binding cassette subfamily B member 5	ABCB5	ABCB5alpha, ABCB5beta, EST422562	9606	HGNC:46
ABCB6	10058	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	ABC, LAN, MTABC3, PRP, umat	9606	HGNC:47
ABCB7	22	ATP binding cassette subfamily B member 7	ABCB7	ABC7, ASAT, Atm1p, EST140535	9606	HGNC:48
ABCB8	11194	ATP binding cassette subfamily B member 8	ABCB8	EST328128, M-ABC1, MABC1, MITOSUR	9606	HGNC:49
ABCB9	23457	ATP binding cassette subfamily B member 9	ABCB9	EST122234, TAPL	9606	HGNC:50
ABCC1	4363	ATP binding cassette subfamily C member 1	ABCC1	ABC29, ABCC, DFNA77, GS-X, MRP	9606	HGNC:51
ABCC10	89845	ATP binding cassette subfamily C member 10	ABCC10	EST182763, MRP7, SIMRP7	9606	HGNC:52
ABCC11	85320	ATP binding cassette subfamily C member 11	ABCC11	EWWD, MRP8, WW	9606	HGNC:14639
ABCC12	94160	ATP binding cassette subfamily C member 12	ABCC12	MRP9	9606	HGNC:14640
ABCC13	150000	ATP binding cassette subfamily C member 13 (pseudogene)	ABCC13	ABCC13P, C21orf73, PRED6	9606	HGNC:16022
ABCC2	1244	ATP binding cassette subfamily C member 2	ABCC2	ABC30, CMOAT, DJS, MRP2, cMRP	9606	HGNC:53
ABCC3	8714	ATP binding cassette subfamily C member 3	ABCC3	ABC31, EST90757, MLP2, MOAT-D, MRP3	9606	HGNC:54
ABCC4	10257	ATP binding cassette subfamily C member 4	ABCC4	MOAT-B, MOATB, MRP4	9606	HGNC:55
ABCC5	10057	ATP binding cassette subfamily C member 5	ABCC5	ABC33, EST277145, MOAT-C, MOATC, MRP5	9606	HGNC:56
ABCC6	368	ATP binding cassette subfamily C member 6	ABCC6	ABC34, ARA, EST349056, GACI2, MLP1	9606	HGNC:57
ABCC8	6833	ATP binding cassette subfamily C member 8	ABCC8	ABC36, HHF1, HI, HRINS, MRP8	9606	HGNC:59
ABCC9	10060	ATP binding cassette subfamily C member 9	ABCC9	ABC37, ATFB12, CANTU, CMD1O, SUR2	9606	HGNC:60
ABCD1	215	ATP binding cassette subfamily D member 1	ABCD1	ABC42, ALD, ALDP, AMN	9606	HGNC:61
ABCD2	225	ATP binding cassette subfamily D member 2	ABCD2	ABC39, ALDL1, ALDR, ALDRP, hALDR	9606	HGNC:66
ABCD3	5825	ATP binding cassette subfamily D member 3	ABCD3	ABC43, CBAS5, PMP70, PXMP1, ZWS2	9606	HGNC:67
ABCD4	5826	ATP binding cassette subfamily D member 4	ABCD4	ABC41, EST352188, MAHCJ, P70R, P79R	9606	HGNC:68
ABCE1	6059	ATP binding cassette subfamily E member 1	ABCE1	ABC38, OABP, RLI, RLI1, RNASEL1	9606	HGNC:69
ABCF1	23	ATP binding cassette subfamily F member 1	ABCF1	ABC27, ABC50	9606	HGNC:70
ABCF2	10061	ATP binding cassette subfamily F member 2	ABCF2	ABC28, EST133090, HUSSY-18, HUSSY18	9606	HGNC:71
ABCF3	55324	ATP binding cassette subfamily F member 3	ABCF3	EST201864	9606	HGNC:72
ABCG1	9619	ATP binding cassette subfamily G member 1	ABCG1	ABC8, WHITE1	9606	HGNC:73
ABCG2	9429	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	ABC15, ABCP, BCRP, BCRP1, BMDP	9606	HGNC:74
ABCG4	64137	ATP binding cassette subfamily G member 4	ABCG4	WHITE2	9606	HGNC:13884
ABCG5	64240	ATP binding cassette subfamily G member 5	ABCG5	STSL, STSL2	9606	HGNC:13886
ABCG8	64241	ATP binding cassette subfamily G member 8	ABCG8	GBD4, STSL, STSL1	9606	HGNC:13887
ABHD1	84696	abhydrolase domain containing 1	ABHD1	LABH1	9606	HGNC:17553
ABHD10	55347	abhydrolase domain containing 10, depalmitoylase	ABHD10		9606	HGNC:25656
ABHD11	83451	abhydrolase domain containing 11	ABHD11	PP1226, WBSCR21	9606	HGNC:16407
ABHD12	26090	abhydrolase domain containing 12, lysophospholipase	ABHD12	ABHD12A, BEM46L2, C20orf22, PHARC, dJ965G21.2	9606	HGNC:15868
ABHD12B	145447	abhydrolase domain containing 12B	ABHD12B	BEM46L3, C14orf29, c14_5314	9606	HGNC:19837
ABHD13	84945	abhydrolase domain containing 13	ABHD13	BEM46L1, C13orf6, bA153I24.2	9606	HGNC:20293
ABHD14A	25864	abhydrolase domain containing 14A	ABHD14A	DORZ1	9606	HGNC:24538
ABHD14A-ACY1	100526760	ABHD14A-ACY1 readthrough	ABHD14A-ACY1		9606	HGNC:38856
ABHD14B	84836	abhydrolase domain containing 14B	ABHD14B	CIB, HEL-S-299	9606	HGNC:28235
ABHD15	116236	abhydrolase domain containing 15	ABHD15		9606	HGNC:26971
ABHD16A	7920	abhydrolase domain containing 16A, phospholipase	ABHD16A	BAT5, D6S82E, NG26, PP199, hBAT5	9606	HGNC:13921
BAT5	7920	abhydrolase domain containing 16A, phospholipase	ABHD16A	BAT5, D6S82E, NG26, PP199, hBAT5	9606	HGNC:13921
ABHD16B	140701	abhydrolase domain containing 16B	ABHD16B	C20orf135, dJ591C20.1	9606	HGNC:16128
ABHD17A	81926	abhydrolase domain containing 17A, depalmitoylase	ABHD17A	C19orf27, FAM108A1	9606	HGNC:28756
FAM108A1	81926	abhydrolase domain containing 17A, depalmitoylase	ABHD17A	C19orf27, FAM108A1	9606	HGNC:28756
ABHD17B	51104	abhydrolase domain containing 17B, depalmitoylase	ABHD17B	C9orf77, CGI-67, FAM108B1	9606	HGNC:24278
FAM108B1	51104	abhydrolase domain containing 17B, depalmitoylase	ABHD17B	C9orf77, CGI-67, FAM108B1	9606	HGNC:24278
ABHD17C	58489	abhydrolase domain containing 17C, depalmitoylase	ABHD17C	FAM108C1	9606	HGNC:26925
FAM108C1	58489	abhydrolase domain containing 17C, depalmitoylase	ABHD17C	FAM108C1	9606	HGNC:26925
C4ORF29	80167	abhydrolase domain containing 18	ABHD18	C4orf29	9606	HGNC:26111
ABHD2	11057	abhydrolase domain containing 2, acylglycerol lipase	ABHD2	HS1-2, LABH2, PHPS1-2	9606	HGNC:18717
ABHD3	171586	abhydrolase domain containing 3, phospholipase	ABHD3	LABH3	9606	HGNC:18718
ABHD4	63874	abhydrolase domain containing 4, N-acyl phospholipase B	ABHD4	ABH4	9606	HGNC:20154
ABHD5	51099	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ABHD5	CGI58, IECN2, NCIE2	9606	HGNC:21396
ABHD6	57406	abhydrolase domain containing 6, acylglycerol lipase	ABHD6		9606	HGNC:21398
ABHD8	79575	abhydrolase domain containing 8	ABHD8		9606	HGNC:23759
ABI1	10006	abl interactor 1	ABI1	ABI-1, ABLBP4, E3B1, NAP1BP, SSH3BP	9606	HGNC:11320
ABI2	10152	abl interactor 2	ABI2	ABI-2, ABI2B, AIP-1, AIP1, AblBP3	9606	HGNC:24011
ABI3	51225	ABI family member 3	ABI3	NESH, SSH3BP3	9606	HGNC:29859
ABI3BP	25890	ABI family member 3 binding protein	ABI3BP	NESHBP, TARSH	9606	HGNC:17265
C9ORF6	54942	actin binding transcription modulator	ABITRAM	C9orf6, CG-8, FAM206A, Simiate	9606	HGNC:1364
FAM206A	54942	actin binding transcription modulator	ABITRAM	C9orf6, CG-8, FAM206A, Simiate	9606	HGNC:1364
ABL1	25	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl	9606	HGNC:76
ABL2	27	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABLL, ARG	9606	HGNC:77
ABLIM1	3983	actin binding LIM protein 1	ABLIM1	ABLIM, LIMAB1, LIMATIN, abLIM-1	9606	HGNC:78
ABLIM2	84448	actin binding LIM protein family member 2	ABLIM2		9606	HGNC:19195
ABLIM3	22885	actin binding LIM protein family member 3	ABLIM3	HMFN1661	9606	HGNC:29132
ABO	28	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ABO	A3GALNT, A3GALT1, GTB, NAGAT	9606	HGNC:79
ABR	29	ABR activator of RhoGEF and GTPase	ABR	MDB	9606	HGNC:81
ABRA	137735	actin binding Rho activating protein	ABRA	STARS	9606	HGNC:30655
ABRACL	58527	ABRA C-terminal like	ABRACL	C6orf115, Costars, HSPC280, PRO2013	9606	HGNC:21230
CCDC98	84142	abraxas 1, BRCA1 A complex subunit	ABRAXAS1	ABRA1, CCDC98, FAM175A	9606	HGNC:25829
FAM175A	84142	abraxas 1, BRCA1 A complex subunit	ABRAXAS1	ABRA1, CCDC98, FAM175A	9606	HGNC:25829
FAM175B	23172	abraxas 2, BRISC complex subunit	ABRAXAS2	ABRO1, FAM175B, KIAA0157	9606	HGNC:28975
KIAA0157	23172	abraxas 2, BRISC complex subunit	ABRAXAS2	ABRO1, FAM175B, KIAA0157	9606	HGNC:28975
ABT1	29777	activator of basal transcription 1	ABT1	Esf2, hABT1	9606	HGNC:17369
ABTB1	80325	ankyrin repeat and BTB domain containing 1	ABTB1	BPOZ, BTB3, BTBD21, EF1ABP, PP2259	9606	HGNC:18275
ABTB2	25841	ankyrin repeat and BTB domain containing 2	ABTB2	ABTB2A, BTBD22	9606	HGNC:23842
ACAA1	30	acetyl-CoA acyltransferase 1	ACAA1	ACAA, PTHIO, THIO	9606	HGNC:82
ACAA2	10449	acetyl-CoA acyltransferase 2	ACAA2	DSAEC	9606	HGNC:83
ACACA	31	acetyl-CoA carboxylase alpha	ACACA	ACAC, ACACAD, ACC, ACC1, ACCA	9606	HGNC:84
ACACB	32	acetyl-CoA carboxylase beta	ACACB	ACC-beta, ACC2, ACCB, HACC275	9606	HGNC:85
ACAD10	80724	acyl-CoA dehydrogenase family member 10	ACAD10		9606	HGNC:21597
ACAD11	84129	acyl-CoA dehydrogenase family member 11	ACAD11	ACAD-11	9606	HGNC:30211
ACAD8	27034	acyl-CoA dehydrogenase family member 8	ACAD8	ACAD-8, ARC42, IBDH	9606	HGNC:87
ACAD9	28976	acyl-CoA dehydrogenase family member 9	ACAD9	MC1DN20, NPD002	9606	HGNC:21497
ACADL	33	acyl-CoA dehydrogenase long chain	ACADL	ACAD4, LCAD	9606	HGNC:88
ACADM	34	acyl-CoA dehydrogenase medium chain	ACADM	ACAD1, MCAD, MCADH	9606	HGNC:89
ACADS	35	acyl-CoA dehydrogenase short chain	ACADS	ACAD3, SCAD	9606	HGNC:90
ACADSB	36	acyl-CoA dehydrogenase short/branched chain	ACADSB	2-MEBCAD, ACAD7, SBCAD	9606	HGNC:91
ACADVL	37	acyl-CoA dehydrogenase very long chain	ACADVL	ACAD6, LCACD, VLCAD	9606	HGNC:92
ACAN	176	aggrecan	ACAN	AGC1, AGCAN, CSPG1, CSPGCP, MSK16	9606	HGNC:319
ACAP1	9744	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	CENTB1	9606	HGNC:16467
CENTB1	9744	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	CENTB1	9606	HGNC:16467
ACAP2	23527	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	CENTB2, CNT-B2	9606	HGNC:16469
CENTB2	23527	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	CENTB2, CNT-B2	9606	HGNC:16469
ACAP3	116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	CENTB5	9606	HGNC:16754
CENTB5	116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	CENTB5	9606	HGNC:16754
ACAT1	38	acetyl-CoA acetyltransferase 1	ACAT1	ACAT, MAT, T2, THIL	9606	HGNC:93
ACAT2	39	acetyl-CoA acetyltransferase 2	ACAT2		9606	HGNC:94
ACBD3	64746	acyl-CoA binding domain containing 3	ACBD3	GCP60, GOCAP1, GOLPH1, PAP7	9606	HGNC:15453
ACBD4	79777	acyl-CoA binding domain containing 4	ACBD4	HMFT0700	9606	HGNC:23337
ACBD5	91452	acyl-CoA binding domain containing 5	ACBD5	RDLKD	9606	HGNC:23338
ACBD6	84320	acyl-CoA binding domain containing 6	ACBD6		9606	HGNC:23339
ACBD7	414149	acyl-CoA binding domain containing 7	ACBD7	bA455B2.2	9606	HGNC:17715
ACCS	84680	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	ACS, PHACS	9606	HGNC:23989
ACCSL	390110	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ACCSL		9606	HGNC:34391
ACD	65057	ACD shelterin complex subunit and telomerase recruitment factor	ACD	PIP1, PTOP, TINT1, TPP1	9606	HGNC:25070
ACE	1636	angiotensin I converting enzyme	ACE	ACE1, CD143, DCP, DCP1	9606	HGNC:2707
ACE2	59272	angiotensin converting enzyme 2	ACE2	ACEH	9606	HGNC:13557
ACER1	125981	alkaline ceramidase 1	ACER1	ALKCDase1, ASAH3	9606	HGNC:18356
ACER2	340485	alkaline ceramidase 2	ACER2	ALKCDase2, ASAH3L	9606	HGNC:23675
ACER3	55331	alkaline ceramidase 3	ACER3	APHC, PHCA, PLDECO	9606	HGNC:16066
PHCA	55331	alkaline ceramidase 3	ACER3	APHC, PHCA, PLDECO	9606	HGNC:16066
ACHE	43	acetylcholinesterase (Cartwright blood group)	ACHE	ACEE, ARACHE, N-ACHE, YT	9606	HGNC:108
ACIN1	22985	apoptotic chromatin condensation inducer 1	ACIN1	ACINUS, ACN, fSAP152	9606	HGNC:17066
ACKR1	2532	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	CCBP1, CD234, DARC, DARC/ACKR1, Dfy	9606	HGNC:4035
DARC	2532	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	CCBP1, CD234, DARC, DARC/ACKR1, Dfy	9606	HGNC:4035
ACKR2	1238	atypical chemokine receptor 2	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	9606	HGNC:1565
CCBP2	1238	atypical chemokine receptor 2	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	9606	HGNC:1565
ACKR3	57007	atypical chemokine receptor 3	ACKR3	CMKOR1, CXC-R7, CXCR-7, CXCR7, GPR159	9606	HGNC:23692
CXCR7	57007	atypical chemokine receptor 3	ACKR3	CMKOR1, CXC-R7, CXCR-7, CXCR7, GPR159	9606	HGNC:23692
ACKR4	51554	atypical chemokine receptor 4	ACKR4	CC-CKR-11, CCBP2, CCR-11, CCR10, CCR11	9606	HGNC:1611
CCRL1	51554	atypical chemokine receptor 4	ACKR4	CC-CKR-11, CCBP2, CCR-11, CCR10, CCR11	9606	HGNC:1611
ACLY	47	ATP citrate lyase	ACLY	ACL, ATPCL, CLATP	9606	HGNC:115
ACMSD	130013	aminocarboxymuconate semialdehyde decarboxylase	ACMSD		9606	HGNC:19288
ACO1	48	aconitase 1	ACO1	ACONS, HEL60, IREB1, IREBP, IREBP1	9606	HGNC:117
ACO2	50	aconitase 2	ACO2	ACONM, HEL-S-284, ICRD, OCA8, OPA9	9606	HGNC:118
IRG1	730249	aconitate decarboxylase 1	ACOD1	CAD, IRG1	9606	HGNC:33904
ACOT1	641371	acyl-CoA thioesterase 1	ACOT1	ACH2, CTE-1, LACH2	9606	HGNC:33128
ACOT11	26027	acyl-CoA thioesterase 11	ACOT11	BFIT, STARD14, THEA, THEM1	9606	HGNC:18156
ACOT12	134526	acyl-CoA thioesterase 12	ACOT12	CACH-1, Cach, STARD15, THEAL	9606	HGNC:24436
ACOT13	55856	acyl-CoA thioesterase 13	ACOT13	HT012, PNAS-27, THEM2	9606	HGNC:20999
THEM2	55856	acyl-CoA thioesterase 13	ACOT13	HT012, PNAS-27, THEM2	9606	HGNC:20999
ACOT2	10965	acyl-CoA thioesterase 2	ACOT2	CTE-IA, CTE1A, MTE1, PTE2, PTE2A	9606	HGNC:18431
ACOT4	122970	acyl-CoA thioesterase 4	ACOT4	PTE-Ib, PTE1B, PTE2B	9606	HGNC:19748
ACOT6	641372	acyl-CoA thioesterase 6	ACOT6	C14orf42, c14_5530	9606	HGNC:33159
ACOT7	11332	acyl-CoA thioesterase 7	ACOT7	ACH1, ACT, BACH, CTE-II, LACH	9606	HGNC:24157
ACOT8	10005	acyl-CoA thioesterase 8	ACOT8	HNAACTE, NAP1, PTE-1, PTE-2, PTE1	9606	HGNC:15919
ACOT9	23597	acyl-CoA thioesterase 9	ACOT9	ACATE2, CGI-16, MT-ACT48, MTACT48	9606	HGNC:17152
ACOX1	51	acyl-CoA oxidase 1	ACOX1	ACOX, MITCH, PALMCOX, SCOX	9606	HGNC:119
ACOX2	8309	acyl-CoA oxidase 2	ACOX2	BCOX, BRCACOX, BRCOX, CBAS6, THCCox	9606	HGNC:120
ACOX3	8310	acyl-CoA oxidase 3, pristanoyl	ACOX3		9606	HGNC:121
ACOXL	55289	acyl-CoA oxidase like	ACOXL		9606	HGNC:25621
ACP1	52	acid phosphatase 1	ACP1	HAAP, LMW-PTP, LMWPTP	9606	HGNC:122
ACP2	53	acid phosphatase 2, lysosomal	ACP2	LAP	9606	HGNC:123
ACPP	55	acid phosphatase 3	ACP3	5'-NT, ACP-3, ACPP, TM-PAP	9606	HGNC:125
ACPT	93650	acid phosphatase 4	ACP4	ACPT, AI1J	9606	HGNC:14376
ACP5	54	acid phosphatase 5, tartrate resistant	ACP5	HPAP, TRACP5a, TRACP5b, TRAP, TrATPase	9606	HGNC:124
ACP6	51205	acid phosphatase 6, lysophosphatidic	ACP6	ACPL1, LPAP, PACPL1	9606	HGNC:29609
PAPL	390928	acid phosphatase 7, tartrate resistant (putative)	ACP7	PAPL, PAPL1	9606	HGNC:33781
ACR	49	acrosin	ACR		9606	HGNC:126
ACRBP	84519	acrosin binding protein	ACRBP	CT23, OY-TES-1, SP32	9606	HGNC:17195
ACRV1	56	acrosomal vesicle protein 1	ACRV1	D11S4365, SP-10, SPACA2	9606	HGNC:127
ACSBG1	23205	acyl-CoA synthetase bubblegum family member 1	ACSBG1	BG, BG1, BGM, GR-LACS, LPD	9606	HGNC:29567
ACSBG2	81616	acyl-CoA synthetase bubblegum family member 2	ACSBG2	BGR, BRGL, PRTD-NY3, PRTDNY3	9606	HGNC:24174
ACSF2	80221	acyl-CoA synthetase family member 2	ACSF2	ACSMW, AVYV493	9606	HGNC:26101
ACSF3	197322	acyl-CoA synthetase family member 3	ACSF3		9606	HGNC:27288
ACSL1	2180	acyl-CoA synthetase long chain family member 1	ACSL1	ACS1, FACL1, FACL2, LACS, LACS1	9606	HGNC:3569
ACSL3	2181	acyl-CoA synthetase long chain family member 3	ACSL3	ACS3, FACL3, LACS 3, LACS3, PRO2194	9606	HGNC:3570
ACSL4	2182	acyl-CoA synthetase long chain family member 4	ACSL4	ACS4, FACL4, LACS4, MRX63, MRX68	9606	HGNC:3571
ACSL5	51703	acyl-CoA synthetase long chain family member 5	ACSL5	ACS2, ACS5, FACL5	9606	HGNC:16526
ACSL6	23305	acyl-CoA synthetase long chain family member 6	ACSL6	ACS2, FACL6, LACS 6, LACS2, LACS5	9606	HGNC:16496
ACSM1	116285	acyl-CoA synthetase medium chain family member 1	ACSM1	BUCS1, MACS1	9606	HGNC:18049
ACSM2A	123876	acyl-CoA synthetase medium chain family member 2A	ACSM2A	A-923A4.1, ACSM2	9606	HGNC:32017
ACSM2B	348158	acyl-CoA synthetase medium chain family member 2B	ACSM2B	ACSM2, HXMA, HYST1046	9606	HGNC:30931
ACSM3	6296	acyl-CoA synthetase medium chain family member 3	ACSM3	SA, SAH	9606	HGNC:10522
ACSM4	341392	acyl-CoA synthetase medium chain family member 4	ACSM4		9606	HGNC:32016
ACSM5	54988	acyl-CoA synthetase medium chain family member 5	ACSM5		9606	HGNC:26060
ACSM6	142827	acyl-CoA synthetase medium chain family member 6	ACSM6	C10orf129, bA310E22.3	9606	HGNC:31665
C10ORF129	142827	acyl-CoA synthetase medium chain family member 6	ACSM6	C10orf129, bA310E22.3	9606	HGNC:31665
ACSS1	84532	acyl-CoA synthetase short chain family member 1	ACSS1	ACAS2L, ACECS1, AceCS2L	9606	HGNC:16091
ACSS2	55902	acyl-CoA synthetase short chain family member 2	ACSS2	ACAS2, ACECS, ACS, ACSA, AceCS1	9606	HGNC:15814
ACSS3	79611	acyl-CoA synthetase short chain family member 3	ACSS3		9606	HGNC:24723
ACTA1	58	actin alpha 1, skeletal muscle	ACTA1	ACTA, ASMA, CFTD, CFTD1, CFTDM	9606	HGNC:129
ACTA2	59	actin alpha 2, smooth muscle	ACTA2	ACTSA	9606	HGNC:130
ACTB	60	actin beta	ACTB	BRWS1, PS1TP5BP1	9606	HGNC:132
ACTBL2	345651	actin beta like 2	ACTBL2	ACT	9606	HGNC:17780
ACTC1	70	actin alpha cardiac muscle 1	ACTC1	ACTC, ASD5, CMD1R, CMH11, LVNC4	9606	HGNC:143
ACTG1	71	actin gamma 1	ACTG1	ACT, ACTG, DFNA20, DFNA26, HEL-176	9606	HGNC:144
ACTG2	72	actin gamma 2, smooth muscle	ACTG2	ACT, ACTA3, ACTE, ACTL3, ACTSG	9606	HGNC:145
ACTL10	170487	actin like 10	ACTL10	C20orf134, dJ63M2.2	9606	HGNC:16127
ACTL6A	86	actin like 6A	ACTL6A	ACTL6, ARPN-BETA, Arp4, BAF53A, INO80K	9606	HGNC:24124
ACTL6B	51412	actin like 6B	ACTL6B	ACTL6, BAF53B, DEE76, EIEE76, IDDSSAD	9606	HGNC:160
ACTL7A	10881	actin like 7A	ACTL7A		9606	HGNC:161
ACTL7B	10880	actin like 7B	ACTL7B	Tact1	9606	HGNC:162
ACTL8	81569	actin like 8	ACTL8	CT57	9606	HGNC:24018
ACTL9	284382	actin like 9	ACTL9	HSD21, SPGF53	9606	HGNC:28494
ACTN1	87	actinin alpha 1	ACTN1	BDPLT15	9606	HGNC:163
ACTN2	88	actinin alpha 2	ACTN2	CMD1AA, CMH23, MPD6, MYOCOZ	9606	HGNC:164
ACTN3	89	actinin alpha 3	ACTN3	ACTN3D	9606	HGNC:165
ACTN4	81	actinin alpha 4	ACTN4	ACTININ-4, FSGS, FSGS1	9606	HGNC:166
ACTR10	55860	actin related protein 10	ACTR10	ACTR11, Arp10, Arp11, HARP11	9606	HGNC:17372
